Invoice_ID,Distributor_ID,Priority,Invoice_Amount_LKR,Submission_Timestamp,Stage1_Approver,Stage1_Wait_min,Stage1_Service_min,Stage1_Outcome,Stage2_Approver,Stage2_Wait_min,Stage2_Service_min,Final_Status,Total_Turnaround_min,Is_Month_End_Period
INV-00001,DIST-001,Normal,631610.17,2026-06-01 08:12:14,Reviewer-A,0.0,0.9,Proceed,Manager-X,0.0,12.82,Approved,13.72,False
INV-00002,DIST-001,Normal,30178.65,2026-06-01 08:22:57,Reviewer-B,0.0,4.22,Proceed,Manager-Y,0.0,2.11,Approved,6.33,False
INV-00003,DIST-004,Normal,384581.64,2026-06-01 08:32:24,Reviewer-C,0.0,12.21,Proceed,Manager-X,0.0,1.65,Approved,13.86,False
INV-00004,DIST-004,Normal,813845.05,2026-06-01 08:36:18,Reviewer-A,0.0,0.58,Proceed,Manager-Y,0.0,17.87,Approved,18.45,False
INV-00005,DIST-012,Normal,393214.02,2026-06-01 08:56:03,Reviewer-B,0.0,15.33,Proceed,Manager-X,0.0,3.3,Approved,18.63,False
INV-00006,DIST-006,Normal,492862.56,2026-06-01 09:22:03,Reviewer-A,0.0,0.28,Proceed,Manager-Y,0.0,3.25,Approved,3.53,False
INV-00007,DIST-002,Normal,326206.66,2026-06-01 09:25:14,Reviewer-C,0.0,10.78,Proceed,Manager-X,0.0,4.17,Approved,14.95,False
INV-00008,DIST-011,Normal,552589.9,2026-06-01 09:39:45,Reviewer-B,0.0,1.13,Proceed,Manager-Y,0.0,1.69,Approved,2.82,False
INV-00009,DIST-011,Normal,586496.85,2026-06-01 10:34:27,Reviewer-A,0.0,2.35,Proceed,Manager-X,0.0,0.55,Approved,2.9,False
INV-00010,DIST-007,Normal,231241.04,2026-06-01 10:54:04,Reviewer-C,0.0,17.18,Proceed,Manager-Y,0.0,3.59,Approved,20.77,False
INV-00011,DIST-011,Normal,392729.82,2026-06-01 11:00:07,Reviewer-B,0.0,1.7,Proceed,Manager-X,0.0,2.9,Approved,4.59,False
INV-00012,DIST-007,High,310886.99,2026-06-01 11:27:29,Reviewer-A,0.0,0.71,Proceed,Manager-X,0.0,11.38,Approved,12.1,False
INV-00013,DIST-003,Normal,674307.06,2026-06-01 11:29:29,Reviewer-B,0.0,0.39,Proceed,Manager-Y,0.0,52.75,Approved,53.14,False
INV-00014,DIST-001,Normal,579839.48,2026-06-01 12:12:00,Reviewer-C,0.0,12.97,Proceed,Manager-X,0.0,13.9,Approved,26.87,False
INV-00015,DIST-003,High,388396.53,2026-06-01 12:16:10,Reviewer-A,0.0,10.01,Proceed,Manager-Y,0.0,5.61,Approved,15.62,False
INV-00016,DIST-011,Normal,257185.85,2026-06-01 12:45:25,Reviewer-B,0.0,5.63,Proceed,Manager-Y,0.0,13.66,Approved,19.29,False
INV-00017,DIST-009,Normal,781127.0,2026-06-01 13:03:31,Reviewer-C,0.0,4.02,Proceed,Manager-X,0.0,4.28,Rejected,8.31,False
INV-00018,DIST-004,High,53946.77,2026-06-01 13:23:14,Reviewer-A,0.0,14.1,Proceed,Manager-Y,0.0,5.37,Approved,19.47,False
INV-00019,DIST-003,Normal,113490.79,2026-06-01 13:40:24,Reviewer-B,0.0,4.79,Proceed,Manager-X,0.0,19.56,Approved,24.35,False
INV-00020,DIST-009,Normal,643199.09,2026-06-01 13:43:15,Reviewer-C,0.0,7.49,Proceed,Manager-Y,0.0,10.58,Approved,18.07,False
INV-00021,DIST-008,Normal,107248.55,2026-06-01 14:10:50,Reviewer-A,0.0,2.48,Proceed,Manager-Y,0.0,2.48,Approved,4.96,False
INV-00022,DIST-011,Normal,54748.33,2026-06-01 14:11:43,Reviewer-B,0.0,0.19,Proceed,Manager-X,0.0,6.86,Approved,7.05,False
INV-00023,DIST-009,High,116803.51,2026-06-01 14:19:42,Reviewer-C,0.0,4.06,Proceed,Manager-Y,0.0,12.4,Approved,16.46,False
INV-00024,DIST-002,Normal,561840.42,2026-06-01 14:22:14,Reviewer-B,0.0,3.18,Proceed,Manager-X,0.0,0.53,Approved,3.71,False
INV-00025,DIST-001,Normal,345214.98,2026-06-01 14:34:42,Reviewer-A,0.0,11.87,Proceed,Manager-X,0.0,2.0,Approved,13.87,False
INV-00026,DIST-005,High,395920.72,2026-06-01 14:41:16,Reviewer-C,0.0,0.38,Proceed,Manager-Y,0.0,15.65,Approved,16.02,False
INV-00027,DIST-009,High,711443.31,2026-06-01 14:53:57,Reviewer-B,0.0,12.52,Proceed,Manager-X,0.0,1.47,Approved,13.99,False
INV-00028,DIST-007,Normal,767564.22,2026-06-01 14:56:50,Reviewer-C,0.0,0.01,Proceed,Manager-Y,0.45,24.8,Approved,25.27,False
INV-00029,DIST-012,High,813933.41,2026-06-01 15:00:51,Reviewer-A,0.0,3.89,Proceed,Manager-X,3.18,1.36,Approved,8.43,False
INV-00030,DIST-010,Normal,626697.92,2026-06-01 15:42:26,Reviewer-C,0.0,2.26,Proceed,Manager-X,0.0,6.15,Approved,8.41,False
INV-00031,DIST-001,Normal,816858.17,2026-06-01 15:51:31,Reviewer-A,0.0,1.23,Proceed,Manager-Y,0.0,10.68,Approved,11.92,False
